"transport","capture_backend","decoder","status","connected","total_frames","decoded_frames","controller_fps","agent_send_fps","agent_au_sent","tail_flat","controller_log","agent_log"
"webrtc","dxgi","d3d11va","pass","True","2863","2348","141.87","148.73","2850","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.webrtc.dxgi.d3d11va.124723.c.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.webrtc.dxgi.d3d11va.124723.a.log"
"webrtc","dxgi","mf","pass","True","3051","2640","138.31","129.56","3131","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.webrtc.dxgi.mf.124756.c.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.webrtc.dxgi.mf.124756.a.log"
"webrtc","wgc","d3d11va","pass","True","1143","1138","55.75","157.04","1211","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.webrtc.wgc.d3d11va.124829.c.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.webrtc.wgc.d3d11va.124829.a.log"
"webrtc","wgc","mf","pass","True","1807","1803","90.22","89.02","1846","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.webrtc.wgc.mf.124902.c.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.webrtc.wgc.mf.124902.a.log"
"quic","dxgi","d3d11va","pass","True","3627","3623","166.53","165.65","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.quic.dxgi.d3d11va.124935.c.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.quic.dxgi.d3d11va.124935.a.log"
"quic","dxgi","mf","pass","True","3690","3670","165.29","167.61","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.quic.dxgi.mf.125008.c.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.quic.dxgi.mf.125008.a.log"
"quic","wgc","d3d11va","pass","True","2185","2181","100.01","101.56","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.quic.wgc.d3d11va.125041.c.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.quic.wgc.d3d11va.125041.a.log"
"quic","wgc","mf","pass","True","882","863","42.48","55.3","0","False","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.quic.wgc.mf.125113.c.log","J:\ProjectTest\remote-desktop\mini-remote-desktop\accept.cross.quic.wgc.mf.125113.a.log"
